Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,8,Prestw-Frag-1016,C15H24O,220.35793,Cc1cc(ccc1O)C(C)(C)CC(C)(C)C,100,DMSO,PwDF-CoreS-01,J03
PrestWick,DrugFragCoreSet,15,Prestw-Frag-1053,C10H12O3,180.20534,CC(C)(Oc1ccccc1)C(=O)O,100,DMSO,PwDF-CoreS-01,E04
PrestWick,DrugFragCoreSet,16,Prestw-Frag-1060,C5H6N2O,110.11637,NC1=CC=CNC1=O,100,DMSO,PwDF-CoreS-01,F04
PrestWick,DrugFragCoreSet,20,Prestw-Frag-1087,C7H5NO2,135.1234,O=C1Nc2ccccc2O1,100,DMSO,PwDF-CoreS-01,J04
PrestWick,DrugFragCoreSet,33,Prestw-Frag-1323,C17H18F2N2,288.34321,Fc1ccc(cc1)C(N2CCNCC2)c3ccc(F)cc3,100,DMSO,PwDF-CoreS-01,K05
PrestWick,DrugFragCoreSet,36,Prestw-Frag-1343,C16H25NO2,263.38315,CCC(C(=O)OCCN(CC)CC)c1ccccc1,100,DMSO,PwDF-CoreS-01,N05
PrestWick,DrugFragCoreSet,46,Prestw-Frag-1441,C13H10N4,222.25145,c1ccc(cc1)c2ccccc2c3nnn[nH]3,100,DMSO,PwDF-CoreS-01,L06
PrestWick,DrugFragCoreSet,47,Prestw-Frag-1445,C12H19NO2,209.29073,COc1ccc(CCN(C)C)cc1OC,100,DMSO,PwDF-CoreS-01,M06
PrestWick,DrugFragCoreSet,48,Prestw-Frag-1446,C11H17NO2,195.26364,CNCCc1ccc(OC)c(OC)c1,100,DMSO,PwDF-CoreS-01,N06
PrestWick,DrugFragCoreSet,49,Prestw-Frag-1453,C16H17NO,239.31999,CN(C)C(=O)C(c1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-01,C07
PrestWick,DrugFragCoreSet,50,Prestw-Frag-1471,C14H11N3O,237.26327,Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,100,DMSO,PwDF-CoreS-01,D07
PrestWick,DrugFragCoreSet,51,Prestw-Frag-1480,C11H14N2O,190.24703,COc1ccc2[nH]cc(CCN)c2c1,100,DMSO,PwDF-CoreS-01,E07
PrestWick,DrugFragCoreSet,52,Prestw-Frag-1494,C6H6N2O2,138.12692,Cc1cnc(cn1)C(=O)O,100,DMSO,PwDF-CoreS-01,F07
