Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
UBIX,UBX-01,1,UBX-77,C10NOS,191.249,OCC1=CN=C(C2=CC=CC=C2)S1,100,DMSO,UserChems01,B13
UBIX,UBX-01,2,UBX-157,C8NO2F,169.153,COC1=C(F)C=C(C(N)=O)C=C1,50,DMSO,UserChems01,C13
UBIX,UBX-01,3,UBX-237,C12N2O,202.252,CC1=NN(C2=CC=C(CO)C=C2)C(C)=C1,100,DMSO,UserChems01,D13
UBIX,UBX-01,4,UBX-540,C11N2O,192.257,CC(NC1=CC=C(C(C)=C1)C(N)=O)C,100,DMSO,UserChems01,E13
UBIX,UBX-01,5,UBX-685,C7O3S,172.201,COCC1=CSC(C(O)=O)=C1,100,DMSO,UserChems01,F13
UBIX,UBX-01,6,UBX-204001,C11NOS,205.28,CC(S1)=CN=C1C2=CC=C(OC)C=C2,100,DMSO,UserChems01,G13
UBIX,UBX-01,7,UBX-204002,C11NOF3S,259.25,CC(S1)=CN=C1C2=CC=C(OC(F)(F)F)C=C2,100,DMSO,UserChems01,H13
UBIX,UBX-01,8,UBX-204003,C13NOS,233.33,CC(S1)=CN=C1C2=CC=C(OC(C)C)C=C2,100,DMSO,UserChems01,I13
UBIX,UBX-01,9,UBX-204004,C11NO2S,219.26,CC(S1)=CN=C1C2=CC(OCO3)=C3C=C2,100,DMSO,UserChems01,J13
UBIX,UBX-01,10,UBX-204005,C11NOFS,223.27,CC(S1)=CN=C1C2=CC=C(OC)C(F)=C2,100,DMSO,UserChems01,K13
UBIX,UBX-01,11,UBX-204006,C11NOFS,223.27,CC(S1)=CN=C1C2=CC=C(OC)C=C2F,100,DMSO,UserChems01,L13
UBIX,UBX-01,12,UBX-204007,C12NOS,219.3,CC(S1)=CN=C1C2=CC=C(OC)C(C)=C2,100,DMSO,UserChems01,M13
UBIX,UBX-01,13,UBX-204008,C12NOS,219.3,CC(S1)=CN=C1C2=CC=C(OC)C=C2C,100,DMSO,UserChems01,N13
UBIX,UBX-01,14,UBX-204009,C11N2OS,218.27,CC(S1)=CN=C1C2=CC=C(C(N)=O)C=C2,100,DMSO,UserChems01,O13
UBIX,UBX-01,15,UBX-204010,C11NO2S,219.26,CC(S1)=CN=C1C2=CC=C(C(O)=O)C=C2,100,DMSO,UserChems01,B14
UBIX,UBX-01,16,UBX-204011,C12NO2S,233.29,CC(S1)=CN=C1C2=CC=C(C(OC)=O)C=C2,100,DMSO,UserChems01,C14
UBIX,UBX-01,17,UBX-204012,C9NO2S2,225.28,CC(S1)=CN=C1C2=CSC(C(O)=O)=C2,50,DMSO,UserChems01,D14
UBIX,UBX-01,18,UBX-204013,C10NO2S2,239.31,CC(S1)=CN=C1C2=CSC(C(OC)=O)=C2,100,DMSO,UserChems01,E14
UBIX,UBX-01,19,UBX-204014,C9NO2S2,225.28,CC(S1)=CN=C1C2=CC=C(C(O)=O)S2,100,DMSO,UserChems01,F14
UBIX,UBX-01,20,UBX-204015,C11N2O,188.23,CC(N1)=CN=C1C2=CC=C(OC)C=C2,100,DMSO,UserChems01,G14
UBIX,UBX-01,21,UBX-204016,C11N2OF3,242.2,CC(N1)=CN=C1C2=CC=C(OC(F)(F)F)C=C2,100,DMSO,UserChems01,H14
UBIX,UBX-01,22,UBX-204017,C13N2O,216.28,CC(N1)=CN=C1C2=CC=C(OC(C)C)C=C2,100,DMSO,UserChems01,I14
UBIX,UBX-01,23,UBX-204018,C11N2O2,202.21,CC(N1)=CN=C1C2=CC(OCO3)=C3C=C2,100,DMSO,UserChems01,J14
UBIX,UBX-01,24,UBX-204019,C11N2OF,206.22,CC(N1)=CN=C1C2=CC=C(OC)C(F)=C2,100,DMSO,UserChems01,K14
UBIX,UBX-01,25,UBX-204020,C11N2OF,206.22,CC(N1)=CN=C1C2=CC=C(OC)C=C2F,100,DMSO,UserChems01,L14
UBIX,UBX-01,26,UBX-204021,C12N2O,202.26,CC(N1)=CN=C1C2=CC=C(OC)C(C)=C2,100,DMSO,UserChems01,M14
UBIX,UBX-01,27,UBX-204022,C12N2O,202.26,CC(N1)=CN=C1C2=CC=C(OC)C=C2C,100,DMSO,UserChems01,N14
UBIX,UBX-01,28,UBX-204023,C11N3O,201.23,CC(N1)=CN=C1C2=CC=C(C(N)=O)C=C2,100,DMSO,UserChems01,O14
UBIX,UBX-01,29,UBX-204024,C11N2O2,202.21,CC(N1)=CN=C1C2=CC=C(C(O)=O)C=C2,100,DMSO,UserChems01,B15
UBIX,UBX-01,30,UBX-204025,C12N2O2,216.24,CC(N1)=CN=C1C2=CC=C(C(OC)=O)C=C2,100,DMSO,UserChems01,C15
UBIX,UBX-01,31,UBX-204026,C9N2O2S,208.24,CC(N1)=CN=C1C2=CSC(C(O)=O)=C2,50,DMSO,UserChems01,D15
UBIX,UBX-01,32,UBX-204027,C10N2O2S,222.26,CC(N1)=CN=C1C2=CSC(C(OC)=O)=C2,100,DMSO,UserChems01,E15
UBIX,UBX-01,33,UBX-204028,C9N2O2S,208.24,CC(N1)=CN=C1C2=CC=C(C(O)=O)S2,100,DMSO,UserChems01,F15
UBIX,UBX-01,34,thalidomide,C13N2O4,258.23,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC=CC=C31)=O,100,DMSO,UserChems01,G15
UBIX,UBX-01,35,pomalidomide,C13N3O4,273.25,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC=CC(N)=C31)=O,100,DMSO,UserChems01,H15
UBIX,UBX-01,36,UBX-401109,C49N7O5S,856.1,CC1=CC=C(NC2CCN(CC3CCN(C4=CC=CC5=C4C(N(C5=O)C6CCC(NC6=O)=O)=O)CC3)CC2)C=C1C(N[C@@H](C7=CC(C(S8)=CC=C8CN9CCCC9)=CC=C7)C)=O,100,DMSO,UserChems01,I15
UBIX,UBX-01,37,UBX-401114,C51N7O5S,886.17,CC1=CC=C(NC2CCN(CCCCCCCCNC3=CC=CC4=C3C(N(C4=O)C5CCC(NC5=O)=O)=O)CC2)C=C1C(N[C@@H](C6=CC(C(S7)=CC=C7CN8CCCC8)=CC=C6)C)=O,100,DMSO,UserChems01,J15
UBIX,UBX-01,38,UBX-307017,C49N12O6,907.05,COC1=CC(N2CCN(CC3CCN(CC3)C(C=C4)=CC5=C4C(N(C5=O)C6CCC(NC6=O)=O)=O)CC2)=C(NC(C=C)=O)C=C1NC7=NC(N8C=C(CN(C)C)C(C9=CC=CC=C9)=N8)=CC=N7,100,DMSO,UserChems01,K15
UBIX,UBX-01,39,UBX-307030,C49N12O6,907.05,COC1=CC(N2CCN(CC3CCN(C4=CC=CC(C(N5C6CCC(NC6=O)=O)=O)=C4C5=O)CC3)CC2)=C(NC(C=C)=O)C=C1NC7=NC(N8C=C(CN(C)C)C(C9=CC=CC=C9)=N8)=CC=N7,100,DMSO,UserChems01,L15
UBIX,UBX-01,40,UBX-307051,C48N12O7,911.04,O=C(N(C1C(NC(CC1)=O)=O)C2=O)C3=C2C=CC=C3NCCCCC(N(CC4)CCN4C5=C(NC(CC)=O)C=C(NC6=NC(N7C=C(CN(C)C)C(C8=CC=CC=C8)=N7)=CC=N6)C(OC)=C5)=O,100,DMSO,UserChems01,M15
