Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-192873,1,Z2856434916,C14H18N2O2,246.304,CC(=O)C=1C=CC(NC(=O)CN2CCCC2)=CC1,100,ethylene glycol,1119104-Y20-C01,B02
Enamine,UC-192873,2,Z276754694,C13H19NO,205.296,CC(C)N(C(C)C)C(=O)C=1C=CC=CC1,100,ethylene glycol,1119104-Y20-C01,C02
Enamine,UC-192873,3,Z2856434812,C16H17NO,239.312,OC=1C=CC(CN2CCC=3C=CC=CC3C2)=CC1,100,ethylene glycol,1119104-Y20-C01,D02
Enamine,UC-192873,4,Z254580486,C7H11N3O,153.181,CN(C)C(=O)CN1C=CC=N1,100,ethylene glycol,1119104-Y20-C01,E02
Enamine,UC-192873,5,Z2856434806,C12H14ClN3,235.712,ClC=1C=CC=C(C1)N2CCN(CC#N)CC2,100,ethylene glycol,1119104-Y20-C01,F02
Enamine,UC-192873,6,Z1833679631,C6H10N4OS,186.234,CCN(C)C(=O)NC1=CN=NS1,100,ethylene glycol,1119104-Y20-C01,G02
Enamine,UC-192873,7,Z1994237215,C9H12F3N3,219.206,FC(F)(F)C1=CC(CN2CCCC2)=NN1,100,ethylene glycol,1119104-Y20-C01,H02
Enamine,UC-192873,8,Z169675004,C9H11N5O,205.216,CN1C=CC(NC(=O)CN2C=CC=N2)=N1,100,ethylene glycol,1119104-Y20-C01,I02
Enamine,UC-192873,9,Z1730522163,C11H12FNO2,209.216,CC1CN(C(=O)C)C=2C=CC=C(F)C2O1,100,ethylene glycol,1119104-Y20-C01,J02
Enamine,UC-192873,10,Z111634612,C9H12N4O,192.217,CC(C)C1=CC(=O)N2N=C(C)N=C2N1,100,ethylene glycol,1119104-Y20-C01,K02
Enamine,UC-192873,11,Z45705015,C9H12FNO2S,217.260,CS(=O)(=O)NCCC=1C=CC(F)=CC1,100,ethylene glycol,1119104-Y20-C01,L02
Enamine,UC-192873,12,Z1102357527,C9H11N3O2S,225.267,O=C(NC1CCC(=O)NC1)C2=CSC=N2,100,ethylene glycol,1119104-Y20-C01,M02
Enamine,UC-192873,13,Z1639162606,C8H10FNO2S,203.233,CNS(=O)(=O)C=1C=CC=C(C)C1F,100,ethylene glycol,1119104-Y20-C01,N02
Enamine,UC-192873,14,Z133716556,C10H13NO3S,227.280,CS(=O)(=O)NC1CCOC=2C=CC=CC12,100,ethylene glycol,1119104-Y20-C01,O02
Enamine,UC-192873,15,Z30272492,C10H12ClNO2,213.660,CNC(=O)C(C)OC=1C=CC(Cl)=CC1,100,ethylene glycol,1119104-Y20-C01,B03
Enamine,UC-192873,16,Z1675346324,C11H17N3O,207.272,CN(C1CC(O)C1)C=2C=C(C)N=C(C)N2,100,ethylene glycol,1119104-Y20-C01,C03
Enamine,UC-192873,17,Z212851096,C10H13N3O2,207.229,CC1CN(CCO1)C(=O)C=2C=NC=CN2,100,ethylene glycol,1119104-Y20-C01,D03
Enamine,UC-192873,18,Z1079512010,C10H11N3O2,205.213,CC=1C=C(CN2N=C(C)C=CC2=O)ON1,100,ethylene glycol,1119104-Y20-C01,E03
Enamine,UC-192873,19,Z26794351,C10H11N3O2,205.213,CCC(=O)NC=1C=CC=2NC(=O)NC2C1,100,ethylene glycol,1119104-Y20-C01,F03
Enamine,UC-192873,20,Z1622626423,C7H10ClF3N4O,258.628,Cl.CC(N)C(=O)NC1=CC(=NN1)C(F)(F)F,100,ethylene glycol,1119104-Y20-C01,G03
Enamine,UC-192873,21,Z2856434944,C12H16FN3O,237.273,CN1CCN(CC1)C(=O)NC=2C=CC(F)=CC2,100,ethylene glycol,1119104-Y20-C01,H03
Enamine,UC-192873,22,Z319891284,C9H14N2O3S,230.284,CC1=CC(=NO1)C2CCCN2S(=O)(=O)C,100,ethylene glycol,1119104-Y20-C01,I03
Enamine,UC-192873,23,Z3006151474,C6H5F2NO2,161.106,FC(F)OC=1C=CC(=O)NC1,100,ethylene glycol,1119104-Y20-C01,J03
Enamine,UC-192873,24,Z1401276297,C11H15N3O,205.256,C1CC2(CCN(C2)C=3C=NC=CN3)CO1,100,ethylene glycol,1119104-Y20-C01,K03
Enamine,UC-192873,25,Z1693429442,C14H15N3O,241.288,CC=1C=C(C)N=C(NC(=O)NC=2C=CC=CC2)C1,100,ethylene glycol,1119104-Y20-C01,L03
Enamine,UC-192873,26,Z1551999220,C10H12BrNO,242.112,CC(CC=1C=CC(Br)=CC1)C(=O)N,100,ethylene glycol,1119104-Y20-C01,M03
Enamine,UC-192873,27,Z33486130,C10H11N3O3,221.212,CC(=O)NC1=CC(=CC(=C1)C(=O)N)C(=O)N,100,ethylene glycol,1119104-Y20-C01,N03
Enamine,UC-192873,28,Z1741964527,C16H17NO,239.312,OC1CN(C1)C(C=2C=CC=CC2)C=3C=CC=CC3,100,ethylene glycol,1119104-Y20-C01,O03
Enamine,UC-192873,29,Z1354370966,C9H9ClFN3O,229.638,FC=1C=C(Cl)C=NC1N2CCNC(=O)C2,100,ethylene glycol,1119104-Y20-C01,B04
Enamine,UC-192873,30,Z1272494722,C9H15N3OS,213.299,CC1=NSC(NC2CCCC2CO)=N1,100,ethylene glycol,1119104-Y20-C01,C04
Enamine,UC-192873,31,Z2012523861,C9H8F3NO2,219.160,CC(=O)NC=1C=CC(OC(F)F)=CC1F,100,ethylene glycol,1119104-Y20-C01,D04
Enamine,UC-192873,32,Z1272517105,C10H17N3OS,227.326,CC1=NSC(NC2CCCC2(C)CO)=N1,100,ethylene glycol,1119104-Y20-C01,E04
Enamine,UC-192873,33,Z1545196101,C11H12FN3,205.231,CC1=NNC=C1CNC=2C=CC=CC2F,100,ethylene glycol,1119104-Y20-C01,F04
Enamine,UC-192873,34,Z1945707490,C10H14O2,166.216,CC(C)(C)C=1C=C(O)C=CC1O,100,ethylene glycol,1119104-Y20-C01,G04
Enamine,UC-192873,35,Z1432018343,C8H10ClFN2O,204.629,C[C@@H](CO)NC=1N=CC(Cl)=CC1F,100,ethylene glycol,1119104-Y20-C01,H04
Enamine,UC-192873,36,Z352704742,C10H11BrFNO2,276.102,CC(O)CNC(=O)C=1C=CC(Br)=CC1F,100,ethylene glycol,1119104-Y20-C01,I04
Enamine,UC-192873,37,Z1354370680,C8H10ClFN2O,204.629,CN(CCO)C=1N=CC(Cl)=CC1F,100,ethylene glycol,1119104-Y20-C01,J04
Enamine,UC-192873,38,Z647156496,C11H14BrNO2,272.138,CC(O)CNC(=O)C=1C=CC(Br)=CC1C,100,ethylene glycol,1119104-Y20-C01,K04
Enamine,UC-192873,39,Z2142244288,C9H12FNO2S,217.260,CCNC=1C=CC(=CC1F)S(=O)(=O)C,100,ethylene glycol,1119104-Y20-C01,L04
Enamine,UC-192873,40,Z839706072,C9H12BrN3O,258.115,CN(C1CC1)C(=O)CN2C=C(Br)C=N2,100,ethylene glycol,1119104-Y20-C01,M04
Enamine,UC-192873,41,Z1522339024,C9H13F3N2O,222.207,CNC(=O)CN1CCC(=CC1)C(F)(F)F,100,ethylene glycol,1119104-Y20-C01,N04
Enamine,UC-192873,42,Z1328078283,C12H22N2O,210.315,CC1(C)CN(C(=O)NCC2CC2)C1(C)C,100,ethylene glycol,1119104-Y20-C01,O04
Enamine,UC-192873,43,Z26794305,C9H9N3O2,191.186,CC(=O)NC=1C=CC=2NC(=O)NC2C1,100,ethylene glycol,1119104-Y20-C01,B05
Enamine,UC-192873,44,Z2856434942,C12H15FN2O,222.258,FC=1C=CC(NC(=O)CN2CCCC2)=CC1,100,ethylene glycol,1119104-Y20-C01,C05
Enamine,UC-192873,45,Z1134240160,C7H11N3OS2,217.311,CC(C)SC1=NN=C(NC(=O)C)S1,100,ethylene glycol,1119104-Y20-C01,D05
Enamine,UC-192873,46,Z212122838,C10H14N2OS,210.295,CC1=CSC(CNC(=O)C2CCC2)=N1,100,ethylene glycol,1119104-Y20-C01,E05
Enamine,UC-192873,47,Z509756472,C13H15N3O2,245.277,O=C(NCC=1C=CC(C#N)=CC1)N2CCOCC2,100,ethylene glycol,1119104-Y20-C01,F05
Enamine,UC-192873,48,Z1265813904,C11H10FNO2,207.201,CN(C)C(=O)C1=CC=2C=CC=C(F)C2O1,100,ethylene glycol,1119104-Y20-C01,G05
Enamine,UC-192873,49,Z2472938267,C13H17N3O2,247.292,O=C(NCCN1CCCC1=O)NC=2C=CC=CC2,100,ethylene glycol,1119104-Y20-C01,H05
Enamine,UC-192873,50,Z1148165337,C11H13N3O,203.240,CN(C)C(=O)CN1N=CC=2C=CC=CC12,100,ethylene glycol,1119104-Y20-C01,I05
Enamine,UC-192873,51,Z384468096,C14H19NO2,233.306,CC(=O)NCC1(CCOCC1)C=2C=CC=CC2,100,ethylene glycol,1119104-Y20-C01,J05
Enamine,UC-192873,52,Z445856640,C9H18N2O3S,234.315,CC(C)NC(=O)N(C)C1CCS(=O)(=O)C1,100,ethylene glycol,1119104-Y20-C01,K05
Enamine,UC-192873,53,Z371866204,C10H11N3O2S,237.278,CNC(=O)NC1=NC=2C=CC(OC)=CC2S1,100,ethylene glycol,1119104-Y20-C01,L05
Enamine,UC-192873,54,Z1562155982,C9H19ClN2O,206.712,Cl.CN(C)C(=O)CC1CCNCC1,100,ethylene glycol,1119104-Y20-C01,M05
Enamine,UC-192873,55,Z53825479,C6H13NO2S,163.237,CS(=O)(=O)NC1CCCC1,100,ethylene glycol,1119104-Y20-C01,N05
Enamine,UC-192873,56,Z1416571195,C11H13N3O,203.240,NC(=O)C=1C=CN=C(NC2CC=CC2)C1,100,ethylene glycol,1119104-Y20-C01,O05
