Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-204426,1,Z1416282396,C8H11ClFNO,155.17,Cl.COc1ccc(CN)c(F)c1,100,DMSO,1233977-Y25-04,A03
Enamine,UC-204426,2,Z1717695509,C12H17ClFNO,209.26,Cl.OC1CCCN(Cc2ccc(F)cc2)C1,100,DMSO,1233977-Y25-04,B03
Enamine,UC-204426,3,Z1203750350,C8H17NO,143.227,CNCC1CCCCC1O,100,DMSO,1233977-Y25-04,C03
Enamine,UC-204426,4,Z57472350,C6H9NO3,143.141,CN1CC(CC1=O)C(=O)O,100,DMSO,1233977-Y25-04,D03
Enamine,UC-204426,5,Z1203748366,C7H13NO2,143.184,COCC1CCNC(=O)C1,100,DMSO,1233977-Y25-04,E03
Enamine,UC-204426,6,Z1230462241,C12H14N2O2,218.252,CC1(C)NC(=O)C(NC1=O)c2ccccc2,100,DMSO,1233977-Y25-04,F03
Enamine,UC-204426,7,Z1123802476,C10H11N3O2,205.213,NC(=O)c1ccc2NCCC(=O)Nc2c1,100,DMSO,1233977-Y25-04,G03
Enamine,UC-204426,8,Z1262645211,C6H7F2N3O2,191.135,Cn1nc(cc1OC(F)F)C(=O)N,100,DMSO,1233977-Y25-04,H03
Enamine,UC-204426,9,Z271011884,C13H17N3,215.294,Cc1ccc(C(N)Cn2ccnc2)c(C)c1,100,DMSO,1233977-Y25-04,I03
Enamine,UC-204426,10,Z1509156266,C8H7F3N4,216.163,Cn1cc(cn1)c2nc(c[nH]2)C(F)(F)F,100,DMSO,1233977-Y25-04,J03
Enamine,UC-204426,11,Z1203745969,C7H12N2O,140.183,O=C1CN2CCCC2CN1,100,DMSO,1233977-Y25-04,K03
Enamine,UC-204426,12,Z1359382362,C9H17NO2,171.237,NCC1CCOC2(CCOC2)C1,100,DMSO,1233977-Y25-04,L03
Enamine,UC-204426,13,Z1203735002,C8H15NO,141.211,CC1CNC(=O)CC(C)C1,100,DMSO,1233977-Y25-04,M03
Enamine,UC-204426,14,Z1203822742,C8H10N2,134.178,CC1Cc2cnccc2N1,100,DMSO,1233977-Y25-04,N03
Enamine,UC-204426,15,Z1203733001,C7H6N2O,134.135,O=C1NCc2ncccc12,100,DMSO,1233977-Y25-04,O03
Enamine,UC-204426,16,Z1250080911,C10H8N4,184.197,Cc1nnc([nH]1)c2cccc(C#N)c2,100,DMSO,1233977-Y25-04,P03
Enamine,UC-204426,17,Z2453130186,C8H12O3,156.179,CC1(C)OCC2CC21C(=O)O,100,DMSO,1233977-Y25-04,A04
Enamine,UC-204426,18,Z992944726,C9H9N3O,175.187,CNc1nc(no1)c2ccccc2,100,DMSO,1233977-Y25-04,B04
Enamine,UC-204426,19,Z965714674,C11H12N4O,216.239,NC(=O)Cn1cnc(c1N)c2ccccc2,100,DMSO,1233977-Y25-04,C04
Enamine,UC-204426,20,Z1041148082,C7H7N3O,149.15,Cn1[nH]c(=O)c2cccnc12,100,DMSO,1233977-Y25-04,D04
Enamine,UC-204426,21,Z335244996,C8H6FNO2,167.137,OC1C(=O)Nc2ccc(F)cc12,100,DMSO,1233977-Y25-04,E04
Enamine,UC-204426,22,Z858042796,C12H16N2O,204.268,CC(N)c1cccc(c1)N2CCCC2=O,100,DMSO,1233977-Y25-04,F04
Enamine,UC-204426,23,Z1255453001,C5H5F3N2O,166.101,Cn1ncc(O)c1C(F)(F)F,100,DMSO,1233977-Y25-04,G04
Enamine,UC-204426,24,Z854066842,C6H5F3N2O2S,226.176,NS(=O)(=O)c1ccc(cn1)C(F)(F)F,100,DMSO,1233977-Y25-04,H04
Enamine,UC-204426,25,Z951182602,C9H13NO3,183.204,OC(=O)C1(CCC1)C(=O)NC2CC2,100,DMSO,1233977-Y25-04,I04
Enamine,UC-204426,26,Z969591530,C7H7N3O2S,197.214,NS(=O)(=O)c1nc2ccccc2[nH]1,100,DMSO,1233977-Y25-04,J04
Enamine,UC-204426,27,Z1504680914,C10H11NO3,193.199,COc1ccc2C(=O)NCCOc2c1,100,DMSO,1233977-Y25-04,K04
Enamine,UC-204426,28,Z997587036,C6H12N4,140.186,CC(C)c1nc(N)n(C)n1,100,DMSO,1233977-Y25-04,L04
Enamine,UC-204426,29,Z385450668,C7H7F2NO3S,223.197,NS(=O)(=O)c1ccccc1OC(F)F,100,DMSO,1233977-Y25-04,M04
Enamine,UC-204426,30,Z1251360769,C7H13N3S,171.263,CC(C)c1nnc(CCN)s1,100,DMSO,1233977-Y25-04,N04
Enamine,UC-204426,31,Z271011724,C10H12N4,188.229,NC(Cn1cncn1)c2ccccc2,100,DMSO,1233977-Y25-04,O04
Enamine,UC-204426,32,Z360884604,C8H9N3O2,179.176,OCCn1nc2ccccn2c1=O,100,DMSO,1233977-Y25-04,P04
Enamine,UC-204426,33,Z425362288,C8H15NO,141.211,CCC1CCNC(=O)CC1,100,DMSO,1233977-Y25-04,A05
Enamine,UC-204426,34,Z1459883765,C12H15ClFNO2,223.243,Cl.OC(=O)C1CCN(Cc2cccc(F)c2)C1,100,DMSO,1233977-Y25-04,B05
Enamine,UC-204426,35,Z1416196030,C8H11N3,149.193,Cc1ncc(N)c(n1)C2CC2,100,DMSO,1233977-Y25-04,C05
Enamine,UC-204426,36,Z425793870,C11H15NO,177.243,OCCN1CCc2ccccc2C1,100,DMSO,1233977-Y25-04,D05
Enamine,UC-204426,37,Z2310707639,C8H16ClNO,141.211,Cl.C1CC2(CN1)CCCOC2,100,DMSO,1233977-Y25-04,E05
Enamine,UC-204426,38,Z1178490394,C8H17NO,143.227,CCC(N)C1CCOCC1,100,DMSO,1233977-Y25-04,F05
Enamine,UC-204426,39,Z959320648,C9H8N2O2,176.172,OC(=O)Cn1ncc2ccccc12,100,DMSO,1233977-Y25-04,G05
Enamine,UC-204426,40,Z1834147953,C13H17NO2,219.28,CC1OCCCN(Cc2ccccc2)C1=O,100,DMSO,1233977-Y25-04,H05
Enamine,UC-204426,41,Z56939169,C6H7NO3,141.125,Cc1noc(C)c1C(=O)O,100,DMSO,1233977-Y25-04,I05
Enamine,UC-204426,42,Z31432964,C10H18N2O2,198.262,CN1CCN(CC1)C(=O)C2CCCO2,100,DMSO,1233977-Y25-04,J05
Enamine,UC-204426,43,Z988984026,C9H15N3,165.236,Cn1nccc1C2CCNCC2,100,DMSO,1233977-Y25-04,K05
Enamine,UC-204426,44,Z254451362,C13H16N2O,216.279,O=C(C1CCC1)N2CCCc3ncccc23,100,DMSO,1233977-Y25-04,L05
Enamine,UC-204426,45,Z1993626891,C11H15N3,189.257,Cn1nccc1C2=CC3CCC(C2)N3,100,DMSO,1233977-Y25-04,M05
Enamine,UC-204426,46,Z1255395717,C9H8ClN3,193.633,Cn1cnnc1c2ccccc2Cl,100,DMSO,1233977-Y25-04,N05
