Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,1,Prestw-Frag-0608,C8H15NO,141.21485,CN1C2CCC1CC(O)C2,100,DMSO,PwDF-CoreS-01,C03
PrestWick,DrugFragCoreSet,3,Prestw-Frag-1003,C11H11N3,185.23042,Cc1cc(nnc1N)c2ccccc2,100,DMSO,PwDF-CoreS-01,E03
PrestWick,DrugFragCoreSet,7,Prestw-Frag-1014,C11H12N2,172.23169,C1Cc2c(CN1)[nH]c3ccccc23,100,DMSO,PwDF-CoreS-01,I03
PrestWick,DrugFragCoreSet,8,Prestw-Frag-1016,C15H24O,220.35793,Cc1cc(ccc1O)C(C)(C)CC(C)(C)C,100,DMSO,PwDF-CoreS-01,J03
PrestWick,DrugFragCoreSet,9,Prestw-Frag-1017,C11H18NO,180.27221,C[N+](C)(CCO)Cc1ccccc1,100,DMSO,PwDF-CoreS-01,K03
PrestWick,DrugFragCoreSet,11,Prestw-Frag-1033,C15H16O2,228.29357,COc1ccc(Cc2ccc(OC)cc2)cc1,100,DMSO,PwDF-CoreS-01,M03
PrestWick,DrugFragCoreSet,12,Prestw-Frag-1039,C7H8Cl2N2,191.06121,NCc1c(N)ccc(Cl)c1Cl,100,DMSO,PwDF-CoreS-01,N03
PrestWick,DrugFragCoreSet,14,Prestw-Frag-1050,C14H12FN3,241.27024,Nc1nc2ccccc2n1Cc3ccc(F)cc3,100,DMSO,PwDF-CoreS-01,D04
PrestWick,DrugFragCoreSet,15,Prestw-Frag-1053,C10H12O3,180.20534,CC(C)(Oc1ccccc1)C(=O)O,100,DMSO,PwDF-CoreS-01,E04
PrestWick,DrugFragCoreSet,16,Prestw-Frag-1060,C5H6N2O,110.11637,NC1=CC=CNC1=O,100,DMSO,PwDF-CoreS-01,F04
PrestWick,DrugFragCoreSet,17,Prestw-Frag-1071,C7H7NO3,153.13874,OCc1ccc(cc1)[N+](=O)[O-],100,DMSO,PwDF-CoreS-01,G04
PrestWick,DrugFragCoreSet,18,Prestw-Frag-1076,C8H12N2O2S,200.26104,NCCc1ccc(cc1)S(=O)(=O)N,100,DMSO,PwDF-CoreS-01,H04
PrestWick,DrugFragCoreSet,20,Prestw-Frag-1087,C7H5NO2,135.1234,O=C1Nc2ccccc2O1,100,DMSO,PwDF-CoreS-01,J04
PrestWick,DrugFragCoreSet,23,Prestw-Frag-1164,C12H15N3,201.27345,C(N1CCCC1)c2nc3ccccc3[nH]2,100,DMSO,PwDF-CoreS-01,M04
PrestWick,DrugFragCoreSet,24,Prestw-Frag-1165,C14H11ClN2,242.71017,Clc1ccc(Cn2cnc3ccccc23)cc1,100,DMSO,PwDF-CoreS-01,N04
PrestWick,DrugFragCoreSet,25,Prestw-Frag-1193,C20H25N,279.42895,C(CN1CCCCC1)C(c2ccccc2)c3ccccc3,100,DMSO,PwDF-CoreS-01,C05
PrestWick,DrugFragCoreSet,26,Prestw-Frag-1200,C9H11NO2,165.19352,CC(Oc1ccccc1)C(=O)N,100,DMSO,PwDF-CoreS-01,D05
PrestWick,DrugFragCoreSet,28,Prestw-Frag-1239,C13H9FO3,232.21328,OC(=O)c1cc(ccc1O)c2ccc(F)cc2,100,DMSO,PwDF-CoreS-01,F05
PrestWick,DrugFragCoreSet,30,Prestw-Frag-1275,C12H17NO2,207.27479,COc1cc2CCN(C)Cc2cc1OC,100,DMSO,PwDF-CoreS-01,H05
